,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
9108,Kirkton Barns Farm - Wind Turbine,Kirkton Barns Farm,Wind Onshore,Fife,2023-09-26
9116,"Plummers Road, Fordham - Solar Array",Arbora Homes,Solar Photovoltaics,Colchester,2023-03-20
9134,"Lower Farm, Drointon Lane - Solar farm & Battery Energy Storage",Novus Renewable Services,Solar Photovoltaics,Stafford,2023-03-17
9135,"Lower Farm, Drointon Lane - Solar farm & Battery Energy Storage",Novus Renewable Services,Battery,Stafford,2023-03-17
9151,"University Of Buckingham Campus, Energy Storage System",AMP Energy Services Limited,Battery,Buckinghamshire,2023-03-24
9163,"Loxley Waste Water Treatment Work,Storrs Bridge Lane - Solar Panels",Downing Renewable Developments,Solar Photovoltaics,Sheffield,2023-06-06
9167,"Side Barn, Church Lane - Solar Farm",PS Renewables Limited,Solar Photovoltaics,South Kesteven,2024-04-04
9177,Newton Of Pitfodels - Battery Storage ,Flexion Energy Uk Storage,Battery,Aberdeen City,2024-05-20
9185,"Levedale Road, Levedale - Battery Energy Storage",Anglo Renewables Limited,Battery,South Staffordshire,2023-03-21
9203,"Earthcott Green Farm, Earthcott Green - Battery Energy Storage",Immersa Limited,Battery,South Gloucestershire,2023-03-31
9215,"Hazel Court, Sketty Park - Solar Panels ",Caredig Housing Association,Solar Photovoltaics,Swansea,2023-04-05
9221,20 Evish Road - Wind Turbine,AGH Energy Limited,Wind Onshore,Derry City and Strabane,2023-01-23
9225,"14 Stone Rd, Victoria Bridge - Wind Turbine",Cladyhill Wind Limited,Wind Onshore,Derry City and Strabane,2023-01-03
9229,Southlands Solar Farm & Battery Storage,Enso Green Holdings Limited / Cero Generation,Solar Photovoltaics,Chelmsford,2023-04-06
9230,Southlands Solar Farm & Battery Storage,Enso Green Holdings Limited / Cero Generation,Battery,Chelmsford,2023-04-06
9243,Siemens Road - Solar Panels,Heatsource Direct Limited,Solar Photovoltaics,Greenwich,2023-04-12
9253,"Swan Road, Westminster Industrial Estate - Solar Panels",Heatsource Direct Limited,Solar Photovoltaics,Greenwich,2023-04-12
9265,"Thornlands Farm, Fletchwood Road - Solar Farm",Enviromena Asset Management UK Limited,Solar Photovoltaics,New Forest,2024-02-29
9330,"Chelmsford Road, Rawreth - Solar Farm & Battery Storage",Enso Green Holdings J Limited,Solar Photovoltaics,Rochford,2023-03-29
9331,"Chelmsford Road, Rawreth - Solar Farm & Battery Storage",Enso Green Holdings J Limited,Battery,Rochford,2023-03-29
9342,"Arthur Rickwood Farm, Chatteris Road - Solar Panels","Monkfield Nutrition",Solar Photovoltaics,East Cambridgeshire,2023-04-25
9346,"John Guest Speedfit Limited, Oldfield Road - Solar Panels",Reliance Worldwide Corporation (UK) Limited,Solar Photovoltaics,Windsor and Maidenhead,2023-04-27
9349,"St Julians, St Julians Road - Solar Panels",Rumshott Estate limited,Solar Photovoltaics,Sevenoaks,2023-05-04
9351,"Sainsburys Supermarkets, Station Road - Solar Panels", J Sainsbury Plc ,Solar Photovoltaics,Maidstone,2023-05-02
9358,Beech Tree Solar Farm, Low Carbon UK Solar Investment Co Limited,Solar Photovoltaics,Wiltshire,2023-11-29
9359,"Landulph Substation, Landulph - Battery Storage",NZED Projectco 2 Limited,Battery,Cornwall,2024-01-10
9457,Power Generation Development in Templepatrick,Private Developer,Wind Onshore,Antrim and Newtownabbey,2023-02-01
9472,"Pound Road, Hawkchurch - Battery Energy Storage System",Enso Energy Limited,Battery,East Devon,2023-05-25
